Nama File,Cluster,RGB,Klasifikasi
0003_0001,1,"(np.uint8(84), np.uint8(119), np.uint8(76))",Daun Sehat (Hijau)
0003_0001,2,"(np.uint8(63), np.uint8(95), np.uint8(48))",Daun Sehat (Hijau)
0003_0001,3,"(np.uint8(31), np.uint8(40), np.uint8(26))",Daun Sehat (Hijau)
0003_0001,4,"(np.uint8(136), np.uint8(164), np.uint8(110))",Daun Sehat (Hijau)
0003_0002,1,"(np.uint8(89), np.uint8(127), np.uint8(70))",Daun Sehat (Hijau)
0003_0002,2,"(np.uint8(29), np.uint8(38), np.uint8(23))",Daun Sehat (Hijau)
0003_0002,3,"(np.uint8(111), np.uint8(147), np.uint8(94))",Daun Sehat (Hijau)
0003_0002,4,"(np.uint8(77), np.uint8(111), np.uint8(53))",Daun Sehat (Hijau)
0003_0003,1,"(np.uint8(33), np.uint8(37), np.uint8(26))",Daun Sehat (Hijau)
0003_0003,2,"(np.uint8(99), np.uint8(126), np.uint8(109))",Daun Sehat (Hijau)
0003_0003,3,"(np.uint8(67), np.uint8(81), np.uint8(48))",Daun Sehat (Hijau)
0003_0003,4,"(np.uint8(81), np.uint8(103), np.uint8(69))",Daun Sehat (Hijau)
0003_0004,1,"(np.uint8(75), np.uint8(106), np.uint8(48))",Daun Sehat (Hijau)
0003_0004,2,"(np.uint8(65), np.uint8(90), np.uint8(33))",Daun Sehat (Hijau)
0003_0004,3,"(np.uint8(89), np.uint8(120), np.uint8(66))",Daun Sehat (Hijau)
0003_0004,4,"(np.uint8(40), np.uint8(61), np.uint8(12))",Daun Sehat (Hijau)
0003_0005,1,"(np.uint8(73), np.uint8(103), np.uint8(50))",Daun Sehat (Hijau)
0003_0005,2,"(np.uint8(49), np.uint8(81), np.uint8(15))",Daun Sehat (Hijau)
0003_0005,3,"(np.uint8(97), np.uint8(127), np.uint8(80))",Daun Sehat (Hijau)
0003_0005,4,"(np.uint8(23), np.uint8(30), np.uint8(17))",Daun Sehat (Hijau)
0011_0001,1,"(np.uint8(92), np.uint8(120), np.uint8(72))",Daun Sehat (Hijau)
0011_0001,2,"(np.uint8(63), np.uint8(87), np.uint8(41))",Daun Sehat (Hijau)
0011_0001,3,"(np.uint8(27), np.uint8(35), np.uint8(19))",Daun Sehat (Hijau)
0011_0001,4,"(np.uint8(78), np.uint8(105), np.uint8(57))",Daun Sehat (Hijau)
0011_0002,1,"(np.uint8(32), np.uint8(43), np.uint8(20))",Daun Sehat (Hijau)
0011_0002,2,"(np.uint8(118), np.uint8(133), np.uint8(88))",Daun Sehat (Hijau)
0011_0002,3,"(np.uint8(55), np.uint8(81), np.uint8(35))",Daun Sehat (Hijau)
0011_0002,4,"(np.uint8(75), np.uint8(99), np.uint8(56))",Daun Sehat (Hijau)
0011_0003,1,"(np.uint8(77), np.uint8(106), np.uint8(61))",Daun Sehat (Hijau)
0011_0003,2,"(np.uint8(27), np.uint8(34), np.uint8(20))",Daun Sehat (Hijau)
0011_0003,3,"(np.uint8(63), np.uint8(88), np.uint8(43))",Daun Sehat (Hijau)
0011_0003,4,"(np.uint8(93), np.uint8(121), np.uint8(77))",Daun Sehat (Hijau)
0011_0004,1,"(np.uint8(76), np.uint8(109), np.uint8(57))",Daun Sehat (Hijau)
0011_0004,2,"(np.uint8(27), np.uint8(37), np.uint8(23))",Daun Sehat (Hijau)
0011_0004,3,"(np.uint8(87), np.uint8(120), np.uint8(74))",Daun Sehat (Hijau)
0011_0004,4,"(np.uint8(115), np.uint8(140), np.uint8(107))",Daun Sehat (Hijau)
0011_0005,1,"(np.uint8(88), np.uint8(123), np.uint8(89))",Daun Sehat (Hijau)
0011_0005,2,"(np.uint8(69), np.uint8(100), np.uint8(50))",Daun Sehat (Hijau)
0011_0005,3,"(np.uint8(28), np.uint8(39), np.uint8(23))",Daun Sehat (Hijau)
0011_0005,4,"(np.uint8(76), np.uint8(111), np.uint8(64))",Daun Sehat (Hijau)
0014_0001,1,"(np.uint8(88), np.uint8(127), np.uint8(74))",Daun Sehat (Hijau)
0014_0001,2,"(np.uint8(30), np.uint8(42), np.uint8(28))",Daun Sehat (Hijau)
0014_0001,3,"(np.uint8(78), np.uint8(115), np.uint8(64))",Daun Sehat (Hijau)
0014_0001,4,"(np.uint8(116), np.uint8(149), np.uint8(101))",Daun Sehat (Hijau)
0014_0002,1,"(np.uint8(133), np.uint8(158), np.uint8(84))",Daun Sehat (Hijau)
0014_0002,2,"(np.uint8(54), np.uint8(65), np.uint8(27))",Daun Sehat (Hijau)
0014_0002,3,"(np.uint8(181), np.uint8(192), np.uint8(120))",Daun Sehat (Hijau)
0014_0002,4,"(np.uint8(107), np.uint8(137), np.uint8(61))",Daun Sehat (Hijau)
0014_0003,1,"(np.uint8(90), np.uint8(127), np.uint8(86))",Daun Sehat (Hijau)
0014_0003,2,"(np.uint8(60), np.uint8(97), np.uint8(45))",Daun Sehat (Hijau)
0014_0003,3,"(np.uint8(26), np.uint8(39), np.uint8(23))",Daun Sehat (Hijau)
0014_0003,4,"(np.uint8(73), np.uint8(112), np.uint8(65))",Daun Sehat (Hijau)
0014_0004,1,"(np.uint8(94), np.uint8(124), np.uint8(81))",Daun Sehat (Hijau)
0014_0004,2,"(np.uint8(70), np.uint8(104), np.uint8(56))",Daun Sehat (Hijau)
0014_0004,3,"(np.uint8(25), np.uint8(35), np.uint8(21))",Daun Sehat (Hijau)
0014_0004,4,"(np.uint8(53), np.uint8(84), np.uint8(34))",Daun Sehat (Hijau)
0014_0005,1,"(np.uint8(94), np.uint8(123), np.uint8(73))",Daun Sehat (Hijau)
0014_0005,2,"(np.uint8(30), np.uint8(42), np.uint8(26))",Daun Sehat (Hijau)
0014_0005,3,"(np.uint8(76), np.uint8(104), np.uint8(55))",Daun Sehat (Hijau)
0014_0005,4,"(np.uint8(121), np.uint8(145), np.uint8(107))",Daun Sehat (Hijau)
0022_0001,1,"(np.uint8(71), np.uint8(98), np.uint8(55))",Daun Sehat (Hijau)
0022_0001,2,"(np.uint8(96), np.uint8(127), np.uint8(83))",Daun Sehat (Hijau)
0022_0001,3,"(np.uint8(31), np.uint8(40), np.uint8(25))",Daun Sehat (Hijau)
0022_0001,4,"(np.uint8(83), np.uint8(114), np.uint8(66))",Daun Sehat (Hijau)
0022_0002,1,"(np.uint8(86), np.uint8(114), np.uint8(65))",Daun Sehat (Hijau)
0022_0002,2,"(np.uint8(25), np.uint8(34), np.uint8(18))",Daun Sehat (Hijau)
0022_0002,3,"(np.uint8(71), np.uint8(97), np.uint8(48))",Daun Sehat (Hijau)
0022_0002,4,"(np.uint8(105), np.uint8(133), np.uint8(82))",Daun Sehat (Hijau)
0022_0003,1,"(np.uint8(76), np.uint8(102), np.uint8(56))",Daun Sehat (Hijau)
0022_0003,2,"(np.uint8(161), np.uint8(138), np.uint8(90))",Daun Sakit (Coklat Kekuningan)
0022_0003,3,"(np.uint8(40), np.uint8(42), np.uint8(23))",Daun Sehat (Hijau)
0022_0003,4,"(np.uint8(97), np.uint8(121), np.uint8(69))",Daun Sehat (Hijau)
0022_0004,1,"(np.uint8(102), np.uint8(128), np.uint8(59))",Daun Sehat (Hijau)
0022_0004,2,"(np.uint8(33), np.uint8(37), np.uint8(17))",Daun Sehat (Hijau)
0022_0004,3,"(np.uint8(82), np.uint8(103), np.uint8(46))",Daun Sehat (Hijau)
0022_0004,4,"(np.uint8(121), np.uint8(143), np.uint8(74))",Daun Sehat (Hijau)
0022_0005,1,"(np.uint8(51), np.uint8(75), np.uint8(35))",Daun Sehat (Hijau)
0022_0005,2,"(np.uint8(64), np.uint8(91), np.uint8(50))",Daun Sehat (Hijau)
0022_0005,3,"(np.uint8(78), np.uint8(105), np.uint8(65))",Daun Sehat (Hijau)
0022_0005,4,"(np.uint8(24), np.uint8(31), np.uint8(17))",Daun Sehat (Hijau)
